date,city,price
2016-01-01,NICE,3596.9595315603656
2016-02-01,NICE,3608.007045213715
2016-03-01,NICE,3618.341816050699
2016-04-01,NICE,3629.3893297039904
2016-05-01,NICE,3640.080471949128
2016-06-01,NICE,3651.1279856024776
2016-07-01,NICE,3661.819127847615
2016-08-01,NICE,3672.8666415009066
2016-09-01,NICE,3683.914155154256
2016-10-01,NICE,3694.6052973993937
2016-11-01,NICE,3705.652811052685
2016-12-01,NICE,3716.3439532978227
2017-01-01,NICE,3727.3914669511723
2017-02-01,NICE,3738.4389806044637
2017-03-01,NICE,3748.4173800332937
2017-04-01,NICE,3759.464893686585
2017-05-01,NICE,3770.1560359317227
2017-06-01,NICE,3781.2035495850723
2017-07-01,NICE,3791.89469183021
2017-08-01,NICE,3802.9422054835013
2017-09-01,NICE,3813.989719136851
2017-10-01,NICE,3824.6808613819885
2017-11-01,NICE,3835.72837503528
2017-12-01,NICE,3846.4195172804175
2018-01-01,NICE,3857.467030933767
2018-02-01,NICE,3868.5145445870585
2018-03-01,NICE,3878.4929440158885
2018-04-01,NICE,3889.54045766918
2018-05-01,NICE,3900.2315999143175
2018-06-01,NICE,3911.279113567667
2018-07-01,NICE,3921.9702558128047
2018-08-01,NICE,3933.017769466096
2018-09-01,NICE,3944.0652831194457
2018-10-01,NICE,3954.7564253645833
2018-11-01,NICE,3965.8039390178747
2018-12-01,NICE,3976.4950812630123
2019-01-01,NICE,3987.542594916362
2019-02-01,NICE,3998.5901085696532
2019-03-01,NICE,4008.5685079984833
2019-04-01,NICE,4019.6160216517746
2019-05-01,NICE,4030.3071638969122
2019-06-01,NICE,4041.354677550262
2019-07-01,NICE,4052.0458197953994
2019-08-01,NICE,4063.093333448691
2019-09-01,NICE,4074.1408471020404
2019-10-01,NICE,4084.831989347178
2019-11-01,NICE,4095.8795030004694
2019-12-01,NICE,4106.570645245607
2020-01-01,NICE,4117.618158898957
2020-02-01,NICE,4128.665672552248
2020-03-01,NICE,4139.000443389232
2020-04-01,NICE,4150.047957042581
2020-05-01,NICE,4160.739099287719
2020-06-01,NICE,4171.78661294101
2020-07-01,NICE,4182.477755186148
2020-08-01,NICE,4193.525268839498
2020-09-01,NICE,4204.572782492789
2020-10-01,NICE,4215.263924737927
2020-11-01,NICE,4226.311438391276
2020-12-01,NICE,4237.002580636414
2016-01-01,PARIS,8542.340008506784
2016-02-01,PARIS,8587.570687427884
2016-03-01,PARIS,8629.883258031681
2016-04-01,PARIS,8675.113936952781
2016-05-01,PARIS,8718.885561715113
2016-06-01,PARIS,8764.116240636213
2016-07-01,PARIS,8807.887865398778
2016-08-01,PARIS,8853.118544319877
2016-09-01,PARIS,8898.349223240977
2016-10-01,PARIS,8942.12084800331
2016-11-01,PARIS,8987.351526924409
2016-12-01,PARIS,9031.123151686974
2017-01-01,PARIS,9076.353830608074
2017-02-01,PARIS,9121.584509529173
2017-03-01,PARIS,9162.438025974203
2017-04-01,PARIS,9207.668704895303
2017-05-01,PARIS,9251.440329657635
2017-06-01,PARIS,9296.671008578734
2017-07-01,PARIS,9340.4426333413
